Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:700
ec41264d-e82e-4356-a7d2-7c1ff6c90abe,,,HIV,HIV,HIV,HIV,,,Misc,N/A,,,,,,,,,,,
477587a8-782c-43e6-ab77-1b69a36e200e,,,Tuberculosis Templates,Tuberculosis Templates,Tuberculosis Templates,Tuberculosis Templates,,,Misc,N/A,,,e95b2fd4-8956-474e-8e0e-630932f6ecee; 4276dcf6-0f21-4910-bac3-87ddc94f88c9,,,,,,,,
