Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
5459f481-bc1f-4719-8972-ab58cb98a05b,,,General Radiology,General Radiology,Radiology,Radiologie,,,ConvSet,N/A,,,d3af43af-0259-4bd5-a240-82549b195d1f;40df8d52-ac8e-4123-bad5-ddb0be18cf1c;56952ac1-9c8c-4347-b315-73586fed56e2;05c4c326-d306-4631-a1dd-7174a6cd9b70;2ec62948-5214-4a72-aa8a-75551d17e325;44455c51-7409-4b95-979a-81b156817e91;4cbe5d38-9328-4de1-9051-81151838f480;19b1e090-734c-426d-a362-adcab5f8e3b6;1c46079a-f16a-4b61-9ec7-00ae2527e3cd;9f92cb76-bc50-4e65-b50f-9c98b80b13a1;33e60d20-3ff7-4e5a-851a-77ebf550c853;b5a8b0b2-ae4c-4a9a-aa9d-c6cee8422b70;977faeb1-5f2d-4b69-9391-3aee01ad277c;dd0bb42a-ab91-4d54-8145-59c191739e0d;affab184-b129-4734-8517-0ee4e0b27837;b872bb75-0801-4f13-920d-65595344da54;299532e1-5a27-4714-958c-55e4da2641ab;56555ce9-32e8-48cf-afd1-fe744b0ca5a4;d2a1b227-43de-478a-8a28-77dcff40e10e;e016ab90-2939-4953-851c-32b087d9ca06;c75c5550-83eb-4b24-8cd0-548d6a8f8b93;385f2b4f-372a-4b75-a2c9-41cc82660a49;8ae790da-ace5-4d81-9229-e276c978160b;2ab9d993-28c1-4059-a9e1-8541a58a57b8;ae838ab8-6b30-4378-989c-a18870665e6e;60c2bf56-ab04-4732-908e-55afe6c8efd9;4ae72cf0-20b0-496a-8f40-a8e7b6e5f32b;284b4566-0fdc-4f73-b729-3f0051138eff;ffe36260-a34d-4e27-ad4f-73b998a9afb8;17af751f-6784-439c-b171-e8fd8914e5ed;2e462d23-1998-4ce6-9799-668b4a34fe51;af98607c-a7ce-4901-aba3-571b0b99f73a;46d1b106-06e9-4f40-a585-f6264b46a4f5;29ce0e70-1ff0-4a66-996d-be747eab9ef6;1a064630-a519-42e3-9741-b101e10c2829;0b9b85b8-1a1d-48c2-a715-80a3b09e9a98;07a91d95-ea5f-4850-a15e-2ffb2e1d87ca;cf1079d9-8d30-41a8-bee8-5ddea5b972c2;7ade8541-d4ab-49b0-ad0e-b09051bb5d7f;d8f4948c-d5e3-46f4-99b7-ea5b4b6dc07a;54886663-9cbe-4ebb-9e1d-f48803db374b;c0db9ff1-76d1-4c2a-afed-e98b2a598f5d;11ff8d5b-a660-49a0-9909-d6070af93dba,,,,,,,,
2712701a-7bcd-43fd-84a2-cddf7539460a,,,Radiology,Radiology,Radiology,Radiologie,,,ConvSet,N/A,,,d3af43af-0259-4bd5-a240-82549b195d1f;40df8d52-ac8e-4123-bad5-ddb0be18cf1c;56952ac1-9c8c-4347-b315-73586fed56e2;05c4c326-d306-4631-a1dd-7174a6cd9b70;2ec62948-5214-4a72-aa8a-75551d17e325;44455c51-7409-4b95-979a-81b156817e91;4cbe5d38-9328-4de1-9051-81151838f480;19b1e090-734c-426d-a362-adcab5f8e3b6;1c46079a-f16a-4b61-9ec7-00ae2527e3cd;9f92cb76-bc50-4e65-b50f-9c98b80b13a1;33e60d20-3ff7-4e5a-851a-77ebf550c853;b5a8b0b2-ae4c-4a9a-aa9d-c6cee8422b70;977faeb1-5f2d-4b69-9391-3aee01ad277c;dd0bb42a-ab91-4d54-8145-59c191739e0d;affab184-b129-4734-8517-0ee4e0b27837;b872bb75-0801-4f13-920d-65595344da54;299532e1-5a27-4714-958c-55e4da2641ab;56555ce9-32e8-48cf-afd1-fe744b0ca5a4;d2a1b227-43de-478a-8a28-77dcff40e10e;e016ab90-2939-4953-851c-32b087d9ca06;c75c5550-83eb-4b24-8cd0-548d6a8f8b93;385f2b4f-372a-4b75-a2c9-41cc82660a49;8ae790da-ace5-4d81-9229-e276c978160b;2ab9d993-28c1-4059-a9e1-8541a58a57b8;ae838ab8-6b30-4378-989c-a18870665e6e;60c2bf56-ab04-4732-908e-55afe6c8efd9;4ae72cf0-20b0-496a-8f40-a8e7b6e5f32b;284b4566-0fdc-4f73-b729-3f0051138eff;ffe36260-a34d-4e27-ad4f-73b998a9afb8;17af751f-6784-439c-b171-e8fd8914e5ed;2e462d23-1998-4ce6-9799-668b4a34fe51;af98607c-a7ce-4901-aba3-571b0b99f73a;46d1b106-06e9-4f40-a585-f6264b46a4f5;29ce0e70-1ff0-4a66-996d-be747eab9ef6;1a064630-a519-42e3-9741-b101e10c2829;0b9b85b8-1a1d-48c2-a715-80a3b09e9a98;07a91d95-ea5f-4850-a15e-2ffb2e1d87ca;cf1079d9-8d30-41a8-bee8-5ddea5b972c2;7ade8541-d4ab-49b0-ad0e-b09051bb5d7f;d8f4948c-d5e3-46f4-99b7-ea5b4b6dc07a;54886663-9cbe-4ebb-9e1d-f48803db374b;c0db9ff1-76d1-4c2a-afed-e98b2a598f5d;11ff8d5b-a660-49a0-9909-d6070af93dba,,,,,,,,
81e95bce-3f10-11e4-adec-0800271c1b75,,,Radiology Orders,Radiology Orders,Radiology,Radiologie,,,ConvSet,N/A,,,5459f481-bc1f-4719-8972-ab58cb98a05b,,,,,,,,
6ca268aa-0381-4e83-8c84-38aaf2fcd102,,,All Orderables,All Orderables,All Orderables,All Orderables,,,ConvSet,N/A,,,Lab Samples;81e95bce-3f10-11e4-adec-0800271c1b75,,,,,,,,
