Uuid,Void/Retire,Workflow,State concept,Initial,Terminal,_order:1003
1a390263-6804-4e23-96d8-0bdd813851f1,,78610332-0aa2-45e9-91bf-3c39a214b81a,491d6883-3078-47b9-b8d0-872641bd9d27,,,
8043a2e0-271c-436f-b0fc-7b9498ededf9,,78610332-0aa2-45e9-91bf-3c39a214b81a,c7684c11-e9a6-4686-8bea-ba1f4e643014,,,
23200c9f-8c87-4dff-a59b-9031b6a63d6e,,78610332-0aa2-45e9-91bf-3c39a214b81a,2ab28290-f5ef-4a99-8eac-741799d86c95,,,
8ac2cb2d-606a-4597-8307-7a2a5b8ead5d,,78610332-0aa2-45e9-91bf-3c39a214b81a,50e08063-fb83-46ab-b008-a8f1d38d6a98,,,
f0596971-50b1-4d45-90f3-318cfaab5085,,78610332-0aa2-45e9-91bf-3c39a214b81a,dc8ccc73-476a-4133-8032-39fa94f75f3a,,,
9f5fb4d9-76ee-49ed-8739-cd5acb10e600,,561b1d3c-b50a-48f7-ad2f-9091a6c29167,7c365f0e-4a33-4bb7-a987-7b08fbc5f9e8,TRUE,,
53c56005-9bad-47ce-bb02-4cb6f674e7d6,,561b1d3c-b50a-48f7-ad2f-9091a6c29168,9f75f5b9-83fc-4db2-8129-fb648e2d68b2,TRUE,,
4a4f2b2a-214f-4e7b-a393-da818398e1de,,561b1d3c-b50a-48f7-ad2f-9091a6c29169,8f1bfe62-3c75-48b7-9010-051f615e2567,TRUE,,
e90ca5b8-4b20-4f48-8150-8e7a1f99b0d1,,561b1d3c-b50a-48f7-ad2f-9091a6c29170,29e1284c-fc44-4f94-9acf-287e24ebff4e,,TRUE,
